Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Postulat betreffend Vergleich der Sozialhilfe mit anderen Städten,Postulat,Beantwortet,29. Januar 2008,['SVP-Fraktion'],['SVP-Fraktion']
Postulat betreffend Stadtbild- und Denkmalpflegekommission,Postulat,Pendent Legislative,14. November 2023,"[' Wehrli Samuel', ' Bachmann Severin', ' Frommherz Nico', ' Höhener Patrick', ' Reiter Ulrich']","['Wehrli Samuel', 'Bachmann Severin', 'Frommherz Nico', 'Höhener Patrick', 'Reiter Ulrich']"
Postulat betreffend ÖV-Verbesserung ins Reidbach-Quartier (Buslinie 125),Postulat,Beantwortet,4. April 2006,['EVP-Fraktion'],['EVP-Fraktion']
Interpellation betreffend Bau von Turnhallen in der Au,Interpellation,Erledigt,8. Januar 2018,"[' Roth Hans', '', 'Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Erstunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Judith Fürst']"
Schriftliche Anfrage betreffend Türkisch-Islamischer Kulturverein Wädenswil,Anfrage,Beantwortet,7. November 2016,"[' Baer Charlotte', ' Zürrer André', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Erstunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']"
Interpellation betreffend Weiterbestehen Quartiermobil,Interpellation,Erledigt,20. November 2016,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']"
Postulat betreffend Urban Gardening in Wädenswil,Postulat,Erledigt,11. Dezember 2017,"['Michael Weiss (keine Funktion)\n Christian Gross (Mitunterzeichner/in)\n Lukas Wiederkehr (Erstunterzeichner/in)', '', '']","['Michael Weiss', 'Christian Gross', 'Lukas Wiederkehr']"
Schriftliche Anfrage betreffend Missbrauch im Sozialwesen,Kleine Anfrage,Beantwortet,28. April 2006,['Walter Münch (Verfasser/in)'],['Walter Münch']
Postulat betreffend koordiniertes Vorgehen gegen Littering und Vandalismus in Wädenswil,Postulat,Beantwortet,31. Januar 2008,['Willy Rüegg'],['Willy Rüegg']
Postulat betreffend Massnahmen zu Gunsten des Langsamverkehrs in Wädenswil,Postulat,Erledigt,9. Mai 2019,"[' Reiter Ulrich', ' Höhener Patrick', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Höhener Patrick', 'Rita Hug', 'Claudia Bühlmann']"
Interpellation betreffend Deponieplanung im Bezirk Horgen,Interpellation,Beantwortet,28. Oktober 2007,['SVP-Fraktion'],['SVP-Fraktion']
"Postulat betreffend Flottenmanagement, Corporate CarSharing und E-Fahrzeug für stadteigene Fahrzeuge",Postulat,Erledigt,14. September 2020,"[' Reiter Ulrich', ' Höhener Patrick', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Höhener Patrick', 'Rita Hug', 'Claudia Bühlmann']"
Postulat betreffend Aufführungszonen für Strassenmusikanten,Postulat,Abgeschrieben,3. Juni 2015,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']"
"Postulat betreffend Behördenauflagen ""Shoppingcenter Hintere Rüti""",Postulat,Nicht überwiesen,22. Juni 2006,['GP-Fraktion'],['GP-Fraktion']
Postulat betreffend Attraktivität des Radwegnetzes in Wädenswil,Postulat,Beantwortet,6. Juni 2010,"[' Erni Jonas', ' Stucki Adrian', '', 'Corina Bürgi, SP\n Migmar Dhakyel, SP\n Willy Rüegg, SP\n Thomas Hartmann, SP\n Tobias Mani, EVP\n Heinz Wiher, GP\n Kuno Spirig, GLP\n Daniel Tanner (keine Funktion)\n Rahel Sonderegger (keine Funktion)\n Simon Kägi (keine Funktion)\n Berti Stocker (keine Funktion)\n Rita Hug (keine Funktion)', '', '', '', '', '', '', '', '', '', '', '']","['Erni Jonas', 'Stucki Adrian', 'Corina Bürgi', 'Migmar Dhakyel', 'Willy Rüegg', 'Thomas Hartmann', 'Tobias Mani', 'Heinz Wiher', 'Kuno Spirig', 'Daniel Tanner', 'Rahel Sonderegger', 'Simon Kägi', 'Berti Stocker', 'Rita Hug']"
Schriftliche Anfrage zu den Auswirkungen der Gemeinderatsbeschlüsse zum Budget 2017,Anfrage,Beantwortet,7. März 2017,"[' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']"
Postulat betreffend Konzept Freizeitanlage Untermosen,Postulat,Pendent Legislative,13. Juli 2021,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']"
Interpellation betreffend Günstiger Wohnungsbau,Interpellation,Beantwortet,19. Oktober 2008,['CVP-Fraktion'],['CVP-Fraktion']
Postulat betreffend SIA-Effizienzpfad Enerige und Watt-Label für Areale,Postulat,Abgeschrieben,29. September 2014,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Mitunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']"
