Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Postulat betreffend erste halbe Stunde gratis parkieren,Postulat,Nicht überwiesen,14. Dezember 2009,['SVP-Fraktion'],['SVP-Fraktion']
Schriftliche Anfrage betreffend Ladenöffnungszeiten,Anfrage,Beantwortet,1. September 2010,"['Tobias Mani, EVP\n Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)', '', '']","['Tobias Mani', 'Rahel Sonderegger', 'Berti Stocker']"
Postulat betreffend Stadtratsbeschlüsse aktiv publizieren,Postulat,Erledigt,12. März 2018,['Judith Fürst (Erstunterzeichner/in)'],['Judith Fürst']
Interpellation betreffend Umnutzung der städtischen Liegenschaft Etzelstrasse 6 für günstigen Wohnraum für Familien,Interpellation,Erledigt,1. September 2014,"[' Baer Charlotte', ' Koch Thomas', ' Stucki Adrian', '', 'Sachkommission\n Rahel Sonderegger (keine Funktion)\n Andreas Gut (keine Funktion)\n Edith Brunner (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '', '', '', '']","['Baer Charlotte', 'Koch Thomas', 'Stucki Adrian', 'Sachkommission', 'Rahel Sonderegger', 'Andreas Gut', 'Edith Brunner', 'Hanspeter Andreoli']"
Interpellation betreffend neuem Busfahrplan,Interpellation,Erledigt,1. September 2014,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']"
Postulat betreffend Schaffung eines Zukunftsrats für die Stadt Wädenswil,Postulat,Abgeschrieben,27. Februar 2018,"[' Reiter Ulrich', ' Roth Hans', '', 'Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Erstunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Martin Schlatter (Mitunterzeichner/in)\n Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '', '', '', '', '', '', '']","['Reiter Ulrich', 'Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Martin Schlatter', 'Rita Hug', 'Claudia Bühlmann', 'Judith Fürst', 'Gabi Bachmann']"
Schriftliche Anfrage betreffend Geschwindigkeitskontrollen Tempo-30-Zonen in Au,Anfrage,Beantwortet,6. September 2010,"['Tobias Mani, EVP\n \n Rahel Sonderegger (keine Funktion)', '', '']","['Tobias Mani', 'Rahel Sonderegger']"
Schriftliche Anfrage betreffend Baubrachen auf Konzessionsland in Wädenswil,Kleine Anfrage,Beantwortet,6. Dezember 2009,['Willy Rüegg'],['Willy Rüegg']
Schriftliche Anfrage betreffend Parkhaus Schulhaus Rotweg,Anfrage,Erledigt,4. Juni 2020,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']"
Postulat betreffend Vergünstigte E-Bikes dank Sammelbestellung Mengenrabatt,Postulat,Rückzug,23. April 2010,"[' Furrer Astrid', '', 'Thomas Bürge, FDP\n Peter Dolder, FDP\n Gian-Fadri Gattiker, FDP\n Walter Münch (keine Funktion)', '', '', '']","['Astrid Furrer', 'Thomas Bürge', 'Peter Dolder', 'Gian-Fadri Gattiker', 'Walter Münch']"
Postulat betreffend Recycling am Bahnhof und an anderen Plätzen mit grossem Publikumsverkehr,Postulat,Erledigt,28. Juni 2019,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']"
Interpellation betreffend Sicherheitscheck für Wädenswiler Fussgängerstreifen,Interpellation,Erledigt,3. Dezember 2013,"['Kuno Spirig, BDP']",['Kuno Spirig']
Postulat betreffend unentgeltliche Benützung städtischer Infrastruktur für die Jugendarbeit von Wädenswiler Vereine,Postulat,Abgeschrieben,3. April 2013,"[' Erni Jonas', '', 'Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Daniel Tanner', 'Thomas Rom', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']"
Schriftliche Anfrage zur Legislaturreise des Stadtrats 2017,Anfrage,Beantwortet,3. Oktober 2017,"['Hansjörg Schmid (Erstunterzeichner/in)\n Judith Fürst (Zweitunterzeichner/in)', '']","['Hansjörg Schmid', 'Judith Fürst']"
Interpellation betreffend Abfallentsorgung,Interpellation,Beantwortet,14. Mai 2009,"['Denise Engel, SP']",['Denise Engel']
Schriftliche Anfrage betreffend Raumsituation in den Kindergärten,Kleine Anfrage,Beantwortet,9. Juli 2012,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
Interpellation betreffend Schutzraumplätze für die Wädenswiler Bevölkerung,Interpellation,Erledigt,30. Mai 2022,"[' Cogliati Bruno', ' Baer Charlotte', ' Hitz Roland', ' Kronauer Marco', ' Rasper Nicolas', ' Rusterholz Marlies', ' Zürrer André', '', 'Sandy Bossert (Mitunterzeichner/in)']","['Cogliati Bruno', 'Baer Charlotte', 'Hitz Roland', 'Kronauer Marco', 'Rasper Nicolas', 'Rusterholz Marlies', 'Zürrer André', 'Sandy Bossert']"
Postulat betreffend eGovernment: Sicherheitslücken und Datenschutz,Postulat,Erledigt,31. Juli 2017,"[' Minutella Angelo', '', 'Michael Weiss (keine Funktion)\n Pierre Rappazzo (Mitunterzeichner/in)', '']","['Minutella Angelo', 'Michael Weiss', 'Pierre Rappazzo']"
Interpellation betreffend Durchsetzung Tempolimite in Tempo-30-Zonen,Interpellation,Beantwortet,27. März 2008,['Thomas Largiadèr (Verfasser/in)'],['Thomas Largiadèr']
Interpellation betreffend Ordnungsbussen bei Littering und Spucken,Interpellation,Beantwortet,7. April 2009,['FDP-Fraktion'],['FDP-Fraktion']
Schriftliche Anfrage betreffend Leistungsaufträge am Spital Zimmerberg,Kleine Anfrage,Beantwortet,3. Januar 2007,['Thomas Hartmann'],['Thomas Hartmann']
