Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Schulzimmer Zentrum Kronenwiese,Interpellation,Beantwortet,2011-06-17,"[' Clesle Hanspeter', ' Senn Mario']","['Clesle Hanspeter', 'Senn Mario']"
Fremdbetreuung von Kindern - Kostenübernahme,Interpellation,Beantwortet,2014-10-21,"['Dr. Bürgi Markus', ' Senn Mario']","['Bürgi Markus', 'Senn Mario']"
Umfang von Beratungsleistungen in der Stadtverwaltung,Interpellation,Erledigt,2015-01-14,"['Dr.  Liedtke Wolfgang', '', 'Davide Loss (keine Funktion)']","['Liedtke Wolfgang', 'Davide Loss']"
Ermässigung der Musikschulgebühren für Studierende,Motion,Nicht zustandegekommen,2021-03-12,"['Dr.  Liedtke Wolfgang', ' Etemi Xhelajdin', ' Yilmaz Esen', '', 'Angelika  Sulser (Mitunterzeichner/in)']","['Liedtke Wolfgang', 'Etemi Xhelajdin', 'Yilmaz Esen', 'Angelika  Sulser']"
Parkplätze Sportanlage Tüfi,Interpellation,Erledigt,2015-05-07,[' Baldegger Harry'],['Baldegger Harry']
Adliswiler Stadtsaal - Wann löst der Stadtrat sein Versprechen ein?,Interpellation,Beantwortet,2020-04-15,"[' Acar Sait', ' Etemi Xhelajdin', 'Dr.  Liedtke Wolfgang']","['Acar Sait', 'Etemi Xhelajdin', 'Liedtke Wolfgang']"
Auswirkungen der Lohnerhöhung beim städtischen Personal,Interpellation,Beantwortet,2023-03-08,"['Dr. Helbling Silvia', ' Iseli Thomas', ' Schweizer Rolf']","['Helbling Silvia', 'Iseli Thomas', 'Schweizer Rolf']"
Finanzielle Situation Kinderhaus Werd,Interpellation,Beantwortet,2017-02-07,"[' Senn Mario', '', 'Marietta Werder (Erstunterzeichner/in)']","['Senn Mario', 'Marietta Werder']"
Elektronische Beschlussdatenbank,Postulat,Abgeschrieben,2013-12-04,[' Senn Mario'],['Senn Mario']
Zahlungserinnerungen zur Verminderung von Steuerausfällen,Anfrage,Beantwortet,2016-12-09,"[' Acar Sait', ' Etemi Xhelajdin', '', 'Davide Loss (Erstunterzeichner/in)']","['Acar Sait', 'Etemi Xhelajdin', 'Davide Loss']"
Quartierentwicklung Dietlimoos/Grütpark,Interpellation,Beantwortet,2014-02-05,[' Fässler Thomas'],['Fässler Thomas']
Interessenbindungen Behördenmitglieder,Anfrage,Beantwortet,2023-02-21,"[' Buchmann-Bach Vera', ' Geissler Heinz', 'Dr. Helbling Silvia']","['Buchmann-Bach Vera', 'Geissler Heinz', 'Helbling Silvia']"
