Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu,ID-Vorstoss
Postulat betreffend Verbesserung der Informationen für Seniorinnen und Senioren,Postulat,Erledigt,2015-02-13,"['Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Erstunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)', '', '', '', '', '']","['Daniel Tanner', 'Thomas Rom', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross']",203
Postulat betreffend PV-Contracting,Postulat,In Bearbeitung,2022-10-19,"[' Fuchs Werner', ' Hauser Urs', ' Minutella Angelo', ' Reust Patrick', ' Roth Hans', ' Tanner Imfeld Monika', ' Willi Daniel', '', 'Karin Signer (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Edith Höhn (Erstunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '', '']","['Fuchs Werner', 'Hauser Urs', 'Minutella Angelo', 'Reust Patrick', 'Roth Hans', 'Tanner Imfeld Monika', 'Willi Daniel', 'Karin Signer', 'Judith Fürst', 'Edith Höhn', 'Gabi Bachmann']",204
Postulat betreffend Sportanlagen,Postulat,Pendent Legislative,2022-01-11,"[' Utiger Joël', ' Gall Ursula', '', 'Ulrich Eckl (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '']","['Utiger Joël', 'Gall Ursula', 'Ulrich Eckl', 'Lukas Wiederkehr']",205
Postulat betreffend flächendeckende Einführung von NPM der Wädenswiler Verwaltung,Postulat,Beantwortet,2010-06-15,['Geschäfts- und Rechnungsprüfungskommission'],"['Geschäfts-, Rechnungsprüfungskommission']",206
Schriftliche Anfrage zur Modernisierung des Gemeinderatssaals in Wädenswil,Anfrage,Beantwortet,2014-12-10,"['Pascal Rubin (Erstunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",207
"Schriftliche Anfrage betreffend ""Energiebuchhaltung stadteigene Gebäude""",Anfrage,Erledigt,2019-03-12,"[' Reiter Ulrich', ' Höhener Patrick', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Höhener Patrick', 'Rita Hug', 'Claudia Bühlmann']",208
Postulat betreffend obere Bergstrasse: Schutz für Fussgänger und Velofahrer,Postulat,Erledigt,2013-05-30,"[' Erni Jonas', ' Stucki Adrian', '', 'Heinz Wiher\n Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Simon Kägi (keine Funktion)\n Berti Stocker (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)\n Rita Hug (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '', '', '']","['Erni Jonas', 'Stucki Adrian', 'Heinz Wiher', 'Daniel Tanner', 'Thomas Rom', 'Simon Kägi', 'Berti Stocker', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross', 'Rita Hug', 'Sandy Bossert']",209
Interpellation betreffend Konzept für Anträge um Unterstützung durch die Stadt,Interpellation,Beantwortet,2012-10-05,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",210
Interpellation betreffend Velotransporte im ZVV-Bus,Interpellation,Beantwortet,2012-10-14,['Albert A. Stahel'],['Albert A. Stahel'],211
Postulat betreffend Überprüfung der Besoldungsstruktur für die Stadtpolizei Wädenswil,Postulat,Erledigt,2013-06-03,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",212
