Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu,ID-Vorstoss
Schriftliche Anfrage betreffend Wie steht es um den Gerbeplatz,Anfrage,Erledigt,2016-06-16,"[' Roth Hans', '', 'Peter Hildebrand (keine Funktion)\n Beatrice Gmür (Erstunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Peter Hildebrand', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross']",294
Schriftliche Anfrage betreffend Tiefenhofweiher,Kleine Anfrage,Beantwortet,2006-05-22,['GP-Fraktion'],['GP-Fraktion'],295
Postulat betreffend Alterswohnungen und altersdurchmischstes Wohnen in der Au,Postulat,Beantwortet,2008-01-26,['Willy Rüegg'],['Willy Rüegg'],296
"Interpellation betreffend Kinderkrippe Etzelstrasse, Gefährdung beim Halten und Parkieren",Interpellation,Erledigt,2023-05-22,"[' Gwerder-Fegble Alexandra', ' Koch Thomas', ' Lüthi Beat', ' Schafflützel Roman', ' Schüpbach Nadia ', ' Taddei Nicolo', '', 'Christian Nufer (Mitunterzeichner/in)']","['Gwerder-Fegble Alexandra', 'Koch Thomas', 'Lüthi Beat', 'Schafflützel Roman', 'Schüpbach Nadia', 'Taddei Nicolo', 'Christian Nufer']",297
Schriftliche Anfrage betreffend Zürisee Center Wädenswil,Kleine Anfrage,Beantwortet,2011-06-07,"[' Stucki Adrian', '', 'Heinz Wiher']","['Stucki Adrian', 'Heinz Wiher']",298
"Motion zur Änderung der Gemeindeordnung, Übertrag der Zuständigkeit zur Erteilung des Bürgerrechts an den Stadtrat",Motion,Erledigt,2007-11-15,['FDP-Fraktion'],['FDP-Fraktion'],299
Postulat betreffend Klimanotstand,Postulat,Abgeschrieben,2019-04-04,['Christian Gross (Erstunterzeichner/in)'],['Christian Gross'],300
Motion betreffend Ausnützungsbonus für Minergiebauten,Motion,Beantwortet,2006-09-01,['GP-Fraktion'],['GP-Fraktion'],301
Interpellation betreffend Kosten von parlamentarischen Vorstössen,Interpellation,Pendent Legislative,2021-01-28,"[' Rasper Nicolas', ' Baer Charlotte', ' Kronauer Marco', ' Zürrer André', '', 'Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '']","['Rasper Nicolas', 'Baer Charlotte', 'Kronauer Marco', 'Zürrer André', 'Roy Schärer', 'Sandy Bossert']",302
Postulat betreffend Defibrilator,Postulat,Nicht überwiesen,2008-09-29,['CVP-Fraktion'],['CVP-Fraktion'],303
Schriftliche Anfrage betreffend Optimierung des Elektrizitätsstandards der Stadt Wädenswil,Anfrage,Beantwortet,2016-11-28,"[' Minutella Angelo', '', 'Michael Weiss (keine Funktion)\n Pierre Rappazzo (Mitunterzeichner/in)', '']","['Minutella Angelo', 'Michael Weiss', 'Pierre Rappazzo']",304
Interpellation betreffend Suspendierung Geschäftsführer Alterszentrum Frohmatt,Interpellation,Pendent Legislative,2021-09-02,"[' Gall Ursula', ' Utiger Joël', '', 'Lukas Wiederkehr (Erstunterzeichner/in)']","['Gall Ursula', 'Utiger Joël', 'Lukas Wiederkehr']",305
Interpellation betreffend Standortförderung Wädenswil,Interpellation,Erledigt,2014-11-17,"[' Koch Thomas', ' Schüpbach Nadia ', '', 'Oliver Küng (keine Funktion)\n Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '', '']","['Koch Thomas', 'Schüpbach Nadia', 'Oliver Küng', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']",306
Schriftliche Anfrage betreffend Einkaufswesen,Anfrage,Erledigt,2018-12-13,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']",307
Interpellation betreffend Umsetzung der Sozialziele gemäss Bundes- und Kantonsverfassung,Interpellation,Beantwortet,2009-09-21,['Thomas Largiadèr (Verfasser/in)'],['Thomas Largiadèr'],308
Motion betreffend Sozialinspektor oder eine gleichbedeutende Amtsperson oder Stelle,Motion,Beantwortet,2009-11-02,['SVP-Fraktion'],['SVP-Fraktion'],309
Interpellation betreffend langfristige Kreditvereinbarung der Stadt Wädenswil - Konsequenzen und Lehren aus dem Debakel,Interpellation,Erledigt,2012-12-08,"[' Furrer Astrid', ' Koch Thomas', '', 'Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)\n Christian Nufer (keine Funktion)', '', '']","['Astrid Furrer', 'Koch Thomas', 'Walter Münch', 'Walter Münch', 'Christian Nufer']",310
Interpellation betreffend Bewilligungspraxis Mobilfunkantenne Bin Rääbe,Interpellation,Erledigt,2018-11-09,['Pierre Rappazzo (Erstunterzeichner/in)'],['Pierre Rappazzo'],311
Postulat gegen den Verkehrskollaps am Kreisel Zuger-/Steinacherstrasse,Postulat,Erledigt,2014-09-02,"['Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Beatrice Gmür (Erstunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)', '', '', '', '']","['Daniel Tanner', 'Thomas Rom', 'Beatrice Gmür', 'Edith Brunner', 'Christian Gross']",312
Schriftliche Anfrage betreffend Bewirtschaftung von öffentlichen Parkhäusern,Anfrage,Beantwortet,2013-06-24,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",313
Schriftliche Anfrage betreffend Verkehrsführung Bahnhofplatz,Kleine Anfrage,Beantwortet,2008-10-23,"['Denise Engel, SP']",['Denise Engel'],314
Schriftliche Anfrage betreffend Qualität Seeuferweg,Anfrage,Erledigt,2021-04-12,"[' Höhener Patrick', ' Reiter Ulrich', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Erstunterzeichner/in)', '']","['Höhener Patrick', 'Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",315
Interpellation betreffend Rendite der Liegenschaften im Finanzvermögen,Interpellation,Erledigt,2017-02-07,"['Pascal Rubin (Erstunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",316
Einzelinitiative Direkte Wahl des Schulpräsidenten durch das Volk,Einzelinitiative,Erledigt,2023-01-30,,,317
Postulat betreffend Projektstudie für eine Holzpellet-/Holzschnitzelheizung bei der Sanierung des Kranken- und Pflegeheims Frohmatt,Postulat,Beantwortet,2006-07-18,"['Heini Hauser, SVP\n Heinz Wiher, Grüne', '']","['Heini Hauser', 'Heinz Wiher']",318
Interpellation betreffend Auswirkungen der kantonalen Abstimmung vom 27. September 2020 über das Strassengesetz und das Zusatzleistungsgesetz,Interpellation,Erledigt,2020-11-23,"[' Baer Charlotte', ' Kronauer Marco', ' Rasper Nicolas', ' Zürrer André', '', 'Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Erstunterzeichner/in)', '']","['Baer Charlotte', 'Kronauer Marco', 'Rasper Nicolas', 'Zürrer André', 'Roy Schärer', 'Sandy Bossert']",319
Schriftliche Anfrage betreffend Baumfäll-Aktion an der Robert-Walser-Strasse,Kleine Anfrage,Beantwortet,2007-09-10,['GP-Fraktion'],['GP-Fraktion'],320
Interpellation betreffend beratende Kommissionen des Stadtrats,Interpellation,Erledigt,2019-04-18,"[' Reiter Ulrich', ' Höhener Patrick', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Höhener Patrick', 'Rita Hug', 'Claudia Bühlmann']",321
Interpellation betreffend Datenschutz in der Stadtverwaltung Wädenswil,Interpellation,Beantwortet,2008-03-03,['CVP-Fraktion'],['CVP-Fraktion'],322
Postulat betreffend Tiefgarage am Gerbeplatz,Postulat,Pendent Legislative,2023-07-10,"[' Taddei Nicolo', ' Baer Charlotte', ' Bislin Martin', ' Cogliati Bruno', ' Gall Ursula', ' Gwerder-Fegble Alexandra', ' Hitz Roland', ' Koch Thomas', ' Kronauer Marco', ' Lüthi Beat', ' Rasper Nicolas', ' Rusterholz Marlies', ' Schafflützel Roman', ' Schüpbach Nadia ', ' Tattersall Christopher', ' Utiger Joël', ' Zürrer André', '', 'Christian Nufer (Mitunterzeichner/in)']","['Taddei Nicolo', 'Baer Charlotte', 'Bislin Martin', 'Cogliati Bruno', 'Gall Ursula', 'Gwerder-Fegble Alexandra', 'Hitz Roland', 'Koch Thomas', 'Kronauer Marco', 'Lüthi Beat', 'Rasper Nicolas', 'Rusterholz Marlies', 'Schafflützel Roman', 'Schüpbach Nadia', 'Tattersall Christopher', 'Utiger Joël', 'Zürrer André', 'Christian Nufer']",323
Postulat betreffend Verbesserung der Verkehrssicherheit an der Steinacherstrasse und Bau eines Verkehrskreisels im Bereich Schützenhaus,Postulat,Beantwortet,2006-05-08,['Willy Rüegg'],['Willy Rüegg'],324
Postulat betreffend Lärmsanierung Gemeindestrassen,Postulat,Erledigt,2017-11-21,"[' Reiter Ulrich', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",325
Postulat betreffend zusätzliche Lehrstellen bei der Stadt,Postulat,Abgeschrieben,2016-11-04,"['Pascal Rubin (Erstunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",326
Schriftliche Anfrage betreffend Standortförderung Wädenswil,Anfrage,Beantwortet,2016-10-03,"[' Minutella Angelo', '', 'Michael Weiss (keine Funktion)\n Pierre Rappazzo (Erstunterzeichner/in)', '']","['Minutella Angelo', 'Michael Weiss', 'Pierre Rappazzo']",327
"Schriftliche Anfrage betreffend Umsetzung der Volksinitiative ""günstiger Wohnraum für Familien""",Anfrage,Beantwortet,2017-12-06,"['Patrik Mouron (Erstunterzeichner/in)\n Volkan Dogu (Mitunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '', '', '']","['Patrik Mouron', 'Volkan Dogu', 'Monika Greter', 'Lukas Wiederkehr']",328
Postulat betreffend Einsetzung eines Sozialinspektors,Postulat,,2006-05-02,['SVP-Fraktion'],['SVP-Fraktion'],329
Interpellation betreffend Strategien für den Ersatz von fossilen Heizungen,Interpellation,Erledigt,2023-06-19,"[' Frommherz Nico', ' Bachmann Severin', ' Höhener Patrick', ' Reiter Ulrich', ' Wehrli Samuel']","['Frommherz Nico', 'Bachmann Severin', 'Höhener Patrick', 'Reiter Ulrich', 'Wehrli Samuel']",330
Interpellation betreffend Planungsarbeiten Alters- und Pflegeheim Frohmatt,Interpellation,,2008-02-14,['FDP-Fraktion'],['FDP-Fraktion'],331
Interpellation betreffend Energiesparcontracting (ESC) in Wädenswil,Interpellation,Erledigt,2019-04-18,"[' Reiter Ulrich', ' Höhener Patrick', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Höhener Patrick', 'Rita Hug', 'Claudia Bühlmann']",332
Interpellation betreffend Wohnen im Alter,Interpellation,Beantwortet,2007-09-02,['SVP-Fraktion'],['SVP-Fraktion'],333
Schriftliche Anfrage zur Wärmestrategie Wädenswil,Anfrage,Erledigt,2020-11-02,"[' Höhener Patrick', ' Reiter Ulrich', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Erstunterzeichner/in)', '']","['Höhener Patrick', 'Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",334
Schriftliche Anfrage betreffend Jugendliche ohne Lehrstellen 2006,Kleine Anfrage,Beantwortet,2006-08-18,['Willy Rüegg'],['Willy Rüegg'],335
Interpellation betreffend Entwicklung Schulhäuser / Pavillon Langrüti,Interpellation,Erledigt,2021-04-11,"['Pascal Rubin (Erstunterzeichner/in)\n Bruno Zürcher (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '', '']","['Pascal Rubin', 'Bruno Zürcher', 'Hanspeter Andreoli']",336
Schriftliche Anfrage betreffend Zunahme von Vandalismus in Wädenswil,Anfrage,Erledigt,2023-02-03,"[' Koch Thomas', ' Lüthi Beat', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '']","['Koch Thomas', 'Lüthi Beat', 'Schafflützel Roman', 'Schüpbach Nadia', 'Ernst Grand', 'Christian Nufer']",337
Postulat betreffend Begabtenförderung und Schulsozialarbeit der Primarschule erneuern,Postulat,Erledigt,2016-12-20,"['Marc Lütolf (keine Funktion)\n Patrik Mouron (keine Funktion)\n Volkan Dogu (Mitunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)', '', '', '']","['Marc Lütolf', 'Patrik Mouron', 'Volkan Dogu', 'Monika Greter']",338
"Interpellation betreffend Auswirkungen der Finanzkrise auf den städtischen Haushalt, die Investitionspläne und die Mittelbeschaffung",Interpellation,Beantwortet,2008-10-20,['FDP-Fraktion'],['FDP-Fraktion'],339
"Schriftliche Anfrage betreffend Gegenvorschlag zur Initiative Grundstückgewinnsteuer-ja, aber fair",Kleine Anfrage,Beantwortet,2012-12-06,"[' Erni Jonas', '', 'Willy Rüegg\n Daniel Tanner (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Willy Rüegg', 'Daniel Tanner', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']",340
Schriftliche Anfrage betreffend Sicherheitskonzept,Anfrage,Beantwortet,2013-07-12,['Albert A. Stahel'],['Albert A. Stahel'],341
Interpellation betreffend Abfallunterricht an den Wädenswiler Schulen,Interpellation,Erledigt,2014-09-17,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Erstunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",342
Schriftliche Anfrage betreffend Aktivitäten der Stadt im Verwaltungsrat der Hangemoos AG,Anfrage,Erledigt,2018-11-01,"[' Reiter Ulrich', ' Höhener Patrick', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Höhener Patrick', 'Rita Hug', 'Claudia Bühlmann']",343
Schriftliche Anfrage betreffend Parkplatzsituation beim Feuerwehrhaus,Kleine Anfrage,Beantwortet,2009-11-02,['GP-Fraktion'],['GP-Fraktion'],344
Postulat betreffend Seeuferweg auf der Halbinsel Au,Postulat,Nicht überwiesen,2009-11-02,['GP-Fraktion'],['GP-Fraktion'],345
Postulat betreffend Bewilligung von Mobilfunkantennen,Postulat,Nicht überwiesen,2010-07-14,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",346
Schriftliche Anfrage betreffend Fussgängerstreifen im Feld / Schönenbergstrasse,Anfrage,Erledigt,2018-11-12,"[' Baer Charlotte', ' Zürrer André', '', 'Adrian Stocker (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Verfasser/in)', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Sandy Bossert']",347
Interpellation betrerffend Beteiligung der Stadt an der Hangenmoos AG,Interpellation,Erledigt,2014-11-06,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",348
Schriftliche Anfrage betreffend Kunsteisbahn Wädenswil,Kleine Anfrage,Beantwortet,2008-09-29,['CVP-Fraktion'],['CVP-Fraktion'],349
Interpellation zur Verbesserung der Standortförderung in Wädenswil,Interpellation,Erledigt,2017-02-28,"[' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']",350
"Postulat betreffend ""Ertrags- und Kostenoptimierung im Bereich Städtische Liegenschaften""",Postulat,Erledigt,2021-06-11,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']",351
Postulat zur Koordination des Angebots für Kinder und Jungendliche,Postulat,Beantwortet,2006-07-03,"['Giuseppina Spescha, CVP\n Meike Nau Lüber, SP', '']","['Giuseppina Spescha', 'Meike Nau Lüber']",352
Interpellation betreffend Neuausrichtung der Gemeindschafts- und Freizeitanlage Untermosen,Interpellation,Beantwortet,2010-06-06,"['Christoph Hirzel, SP']",['Christoph Hirzel'],353
Schriftliche Anfrage betreffend Umnutzung des SBB Reisebüros,Anfrage,Beantwortet,2015-06-05,"['Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)\n Christine Merseburger (keine Funktion)', '', '']","['Rahel Sonderegger', 'Berti Stocker', 'Christine Merseburger']",354
Schriftliche Anfrage betreffend individueller Bezug von Biogas,Anfrage,Erledigt,2020-08-14,[' Roth Hans'],['Roth Hans'],355
Schriftliche Anfrage betreffend neuer Fussweg Mittelort (Au),Kleine Anfrage,Beantwortet,2007-09-20,['EVP-Fraktion'],['EVP-Fraktion'],356
Interpellation für einen städtischen Energiefonds,Interpellation,Erledigt,2019-05-11,"[' Zürrer André', ' Baer Charlotte', ' Kronauer Marco', '', 'Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '']","['Zürrer André', 'Baer Charlotte', 'Kronauer Marco', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Sandy Bossert']",357
Postulat betreffend Vergleich der Sozialhilfe mit anderen Städten,Postulat,Beantwortet,2008-01-29,['SVP-Fraktion'],['SVP-Fraktion'],358
Postulat betreffend Stadtbild- und Denkmalpflegekommission,Postulat,Pendent Legislative,2023-11-14,"[' Wehrli Samuel', ' Bachmann Severin', ' Frommherz Nico', ' Höhener Patrick', ' Reiter Ulrich']","['Wehrli Samuel', 'Bachmann Severin', 'Frommherz Nico', 'Höhener Patrick', 'Reiter Ulrich']",359
Postulat betreffend ÖV-Verbesserung ins Reidbach-Quartier (Buslinie 125),Postulat,Beantwortet,2006-04-04,['EVP-Fraktion'],['EVP-Fraktion'],360
Interpellation betreffend Bau von Turnhallen in der Au,Interpellation,Erledigt,2018-01-08,"[' Roth Hans', '', 'Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Erstunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Judith Fürst']",361
Schriftliche Anfrage betreffend Türkisch-Islamischer Kulturverein Wädenswil,Anfrage,Beantwortet,2016-11-07,"[' Baer Charlotte', ' Zürrer André', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Erstunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",362
Interpellation betreffend Weiterbestehen Quartiermobil,Interpellation,Erledigt,2016-11-20,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",363
Postulat betreffend Urban Gardening in Wädenswil,Postulat,Erledigt,2017-12-11,"['Michael Weiss (keine Funktion)\n Christian Gross (Mitunterzeichner/in)\n Lukas Wiederkehr (Erstunterzeichner/in)', '', '']","['Michael Weiss', 'Christian Gross', 'Lukas Wiederkehr']",364
Schriftliche Anfrage betreffend Missbrauch im Sozialwesen,Kleine Anfrage,Beantwortet,2006-04-28,['Walter Münch (Verfasser/in)'],['Walter Münch'],365
Postulat betreffend koordiniertes Vorgehen gegen Littering und Vandalismus in Wädenswil,Postulat,Beantwortet,2008-01-31,['Willy Rüegg'],['Willy Rüegg'],366
Postulat betreffend Massnahmen zu Gunsten des Langsamverkehrs in Wädenswil,Postulat,Erledigt,2019-05-09,"[' Reiter Ulrich', ' Höhener Patrick', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Höhener Patrick', 'Rita Hug', 'Claudia Bühlmann']",367
Interpellation betreffend Deponieplanung im Bezirk Horgen,Interpellation,Beantwortet,2007-10-28,['SVP-Fraktion'],['SVP-Fraktion'],368
"Postulat betreffend Flottenmanagement, Corporate CarSharing und E-Fahrzeug für stadteigene Fahrzeuge",Postulat,Erledigt,2020-09-14,"[' Reiter Ulrich', ' Höhener Patrick', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Höhener Patrick', 'Rita Hug', 'Claudia Bühlmann']",369
Postulat betreffend Aufführungszonen für Strassenmusikanten,Postulat,Abgeschrieben,2015-06-03,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']",370
"Postulat betreffend Behördenauflagen ""Shoppingcenter Hintere Rüti""",Postulat,Nicht überwiesen,2006-06-22,['GP-Fraktion'],['GP-Fraktion'],371
Postulat betreffend Attraktivität des Radwegnetzes in Wädenswil,Postulat,Beantwortet,2010-06-06,"[' Erni Jonas', ' Stucki Adrian', '', 'Corina Bürgi, SP\n Migmar Dhakyel, SP\n Willy Rüegg, SP\n Thomas Hartmann, SP\n Tobias Mani, EVP\n Heinz Wiher, GP\n Kuno Spirig, GLP\n Daniel Tanner (keine Funktion)\n Rahel Sonderegger (keine Funktion)\n Simon Kägi (keine Funktion)\n Berti Stocker (keine Funktion)\n Rita Hug (keine Funktion)', '', '', '', '', '', '', '', '', '', '', '']","['Erni Jonas', 'Stucki Adrian', 'Corina Bürgi', 'Migmar Dhakyel', 'Willy Rüegg', 'Thomas Hartmann', 'Tobias Mani', 'Heinz Wiher', 'Kuno Spirig', 'Daniel Tanner', 'Rahel Sonderegger', 'Simon Kägi', 'Berti Stocker', 'Rita Hug']",372
Schriftliche Anfrage zu den Auswirkungen der Gemeinderatsbeschlüsse zum Budget 2017,Anfrage,Beantwortet,2017-03-07,"[' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']",373
Postulat betreffend Konzept Freizeitanlage Untermosen,Postulat,Pendent Legislative,2021-07-13,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']",374
Interpellation betreffend Günstiger Wohnungsbau,Interpellation,Beantwortet,2008-10-19,['CVP-Fraktion'],['CVP-Fraktion'],375
Postulat betreffend SIA-Effizienzpfad Enerige und Watt-Label für Areale,Postulat,Abgeschrieben,2014-09-29,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Mitunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']",376
Schriftliche Anfrage betreffend bezahlbaren Wohnraum in Wädenswil,Anfrage,Erledigt,2018-11-16,"[' Roth Hans', '', 'Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Erstunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Karin Signer (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '', '']","['Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Karin Signer', 'Judith Fürst']",377
Postulat betreffend Pflege des kulturellen Erbes Wädenswil,Postulat,Beantwortet,2010-07-12,"['Tobias Mani, EVP\n Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)', '', '']","['Tobias Mani', 'Rahel Sonderegger', 'Berti Stocker']",378
Schriftliche Anfrage betreffend Ungereimtheiten in Zusammenhang mit der Sanierung der Garderobe im Hallenbad Untermosen,Kleine Anfrage,Beantwortet,2009-11-12,['FDP-Fraktion'],['FDP-Fraktion'],379
Schriftliche Anfrage betreffend der Wasserqualität des Mittelortbach / Einleitbedingungen in den Ausee,Anfrage,Erledigt,2018-10-25,"[' Reiter Ulrich', ' Höhener Patrick', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Höhener Patrick', 'Rita Hug', 'Claudia Bühlmann']",380
