Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu,ID-Vorstoss
Neues Nutzungskonzept für die Tiefgarage Zentrum,Postulat,Pendent Legislative,2023-09-21,"[' Mäder Gabriel', ' Engel Pascal', ' Schanz Simon']","['Mäder Gabriel', 'Engel Pascal', 'Schanz Simon']",70
Energieversorgung von neuen Wärmepumpen in Adliswil,Interpellation,Beantwortet,2019-12-18,"[' Schanz Simon', ' Mäder Gabriel', '', 'Stefan Neubert (Mitunterzeichner/in)\n Anke Würl (Mitunterzeichner/in)\n Martin Rüttimann (Mitunterzeichner/in)\n Walter Uebersax (Mitunterzeichner/in)', '', '', '']","['Schanz Simon', 'Mäder Gabriel', 'Stefan Neubert', 'Anke Würl', 'Martin Rüttimann', 'Walter Uebersax']",71
Fussgängerstreifen Leimbachstrasse,Postulat,Überwiesen,2010-06-23,[' Clesle Hanspeter'],['Clesle Hanspeter'],72
Altersgerechte Politik in Adliswil,Interpellation,Beantwortet,2017-05-10,['Dr.  Liedtke Wolfgang'],['Liedtke Wolfgang'],73
200-Watt-Gesellschaft,Postulat,Beantwortet,2009-02-05,[' Fässler Thomas'],['Fässler Thomas'],74
Energiebuchhaltung,Interpellation,Beantwortet,2008-11-26,['Yannick Wettstein (keine Funktion)'],['Yannick Wettstein'],75
Reduktion von Strassenlärm in Adliswil,Interpellation,Beantwortet,2017-06-07,['Dr.  Liedtke Wolfgang'],['Liedtke Wolfgang'],76
Grundstückverzeichnis,Interpellation,Beantwortet,2019-11-06,"[' Corrodi Bernie', ' Baldegger Harry', ' Frei Daniel', ' Melliger Heinz']","['Corrodi Bernie', 'Baldegger Harry', 'Frei Daniel', 'Melliger Heinz']",77
Schulhausparkplätze in Adliswil,Interpellation,Beantwortet,2010-08-04,[' Senn Mario'],['Senn Mario'],78
Gleichberechtigung der Entschädigung beim Zeitungssammeln,Interpellation,Pendent Legislative,2023-09-21,[' Schanz Simon'],['Schanz Simon'],79
Verbesserung und Ausbau der Buslinie 153 (Sonnenberg-Quartier),Motion,Abgeschrieben,2020-11-27,"[' Corrodi Bernie', ' Baldegger Harry', ' Frei Daniel', ' Melliger Heinz']","['Corrodi Bernie', 'Baldegger Harry', 'Frei Daniel', 'Melliger Heinz']",80
Programmierunterricht an der Schule Adliswil,Interpellation,Beantwortet,2017-10-05,"['Dr. Bürgi Markus', ' Frei Daniel', ' Senn Mario']","['Bürgi Markus', 'Frei Daniel', 'Senn Mario']",81
Veröffentlichung der Arbeitslosenzahlen,Interpellation,Beantwortet,2015-02-05,['Mario F. Salomon (keine Funktion)'],['Mario F. Salomon'],82
Flächendeckende Schulsozialarbeit,Motion,Erledigt,2010-01-11,['Yannick Wettstein (keine Funktion)'],['Yannick Wettstein'],83
Zwischenberichterstattung finanzielle Entwicklung,Postulat,Beantwortet,2013-03-06,[' Iseli Thomas'],['Iseli Thomas'],84
Änderungen im übergeordneten Recht und ihr finanzielle Auswirkungen auf Adliswil,Interpellation,Beantwortet,2013-07-03,[' Senn Mario'],['Senn Mario'],85
Zustände in der Notunterkunft (NUK) Adliswil,Interpellation,Beantwortet,2017-07-11,[' Engel Pascal'],['Engel Pascal'],86
Strassenbeleuchtung bei Bedarf,Interpellation,Beantwortet,2008-04-15,[' Fässler Thomas'],['Fässler Thomas'],87
Lärmschutz Zürichstrasse,Interpellation,Beantwortet,2008-03-06,['Davide Loss (keine Funktion)'],['Davide Loss'],88
Erfassung von 1. Mahnungen,Postulat,Nicht überwiesen,2013-07-03,[' Senn Mario'],['Senn Mario'],89
Datensicherheit in der Stadtverwaltung Adliswil,Interpellation,Beantwortet,2017-07-12,['Dr.  Liedtke Wolfgang'],['Liedtke Wolfgang'],90
Nutzung von Synergien mit der ZIS,Interpellation,Beantwortet,2013-03-06,['Simone Huber (keine Funktion)'],['Simone Huber'],91
Schliessung der Geburtenabteilung Spital Sanitas,Interpellation,Beantwortet,2010-01-25,['Davide Loss (keine Funktion)'],['Davide Loss'],92
Zusammenarbeit mit der Kindes- und Erwachsenenschutzbehörde des Bezirks Horgen,Interpellation,Beantwortet,2015-02-05,"['Daniel Jud (keine Funktion)\n Davide Loss (keine Funktion)', '']","['Daniel Jud', 'Davide Loss']",93
Bahnhof Adliswil direkter Zugang von der Passerelle zu den Gleisen,Postulat,Abgelehnt,2017-08-31,"[' Fässler Thomas', '', 'Andrea Blümli (Mitunterzeichner/in)\n Anke Würl (Verfasser/in)', '']","['Fässler Thomas', 'Andrea Blümli', 'Anke Würl']",94
Gemeinnütziger Wohnungsbau im Dietlimoos,Motion,Abgelehnt,2017-08-15,"['Dr.  Liedtke Wolfgang', 'Dr. Oswald Marianne', '', 'Daniel Jud (Erstunterzeichner/in)']","['Liedtke Wolfgang', 'Oswald Marianne', 'Daniel Jud']",95
"Kostendeckungsgrade, Gebühren und Steuern",Interpellation,Erledigt,2015-03-03,"['Yannick Wettstein (keine Funktion)\n Peter Werder (keine Funktion)', '']","['Yannick Wettstein', 'Peter Werder']",96
Kostendeckende Einbürgerungsgebühren,Motion,Überwiesen,2010-05-13,[' Senn Mario'],['Senn Mario'],97
Grundstückgewinnsteuer,Interpellation,Beantwortet,2012-12-05,['Daniel Jud (keine Funktion)'],['Daniel Jud'],98
Sihlwald für alle,Interpellation,Beantwortet,2013-07-03,[' Fässler Thomas'],['Fässler Thomas'],99
Neuer linksseitiger Sihluferweg mit Wegbeleuchtung,Motion,Erledigt,2008-08-17,['Fredi Morf (keine Funktion)'],['Fredi Morf'],100
"Bauvorhaben der Schule, befristetes Aufstellen von 11 Schulcontainern",Interpellation,Erledigt,2008-09-03,['Fredi Morf (keine Funktion)'],['Fredi Morf'],101
Busbahnhof Adliswil und Haltestellen,Interpellation,Beantwortet,2013-07-03,[' Acar Sait'],['Acar Sait'],102
Rechte und Pflichten der Stadt Adliswil gegenüber der Stiftung für Altersbauten (SABA),Interpellation,Beantwortet,2012-12-12,"[' Baldegger Harry', ' Frei Daniel']","['Baldegger Harry', 'Frei Daniel']",103
Verhälntnis der Stadt Adliswil zu Privatschulen in Adliswil,Anfrage,Beantwortet,2010-01-28,['Davide Loss (Verfasser/in)'],['Davide Loss'],104
Baulandreserven in Adliswil,Interpellation,Erledigt,2015-03-05,['Mario F. Salomon (keine Funktion)'],['Mario F. Salomon'],105
Generationenübergreifendes Gemeinschaftszentrum GZ,Interpellation,Beantwortet,2017-08-24,['Walter Uebersax (Verfasser/in)'],['Walter Uebersax'],106
Mitteilung von Beschlüssen der Schulpflege,Postulat,Erledigt,2018-02-08,"[' Etemi Xhelajdin', 'Dr.  Liedtke Wolfgang', '', 'Davide Loss (Erstunterzeichner/in)']","['Etemi Xhelajdin', 'Liedtke Wolfgang', 'Davide Loss']",107
Vervollständigung der Schulintegration,Motion,Abgeschrieben,2015-04-02,"[' Meier Theo', ' Senn Mario', '', 'Heidi Jucker (keine Funktion)']","['Meier Theo', 'Senn Mario', 'Heidi Jucker']",108
Steuerpolitik der Stadt Adliswil,Interpellation,Beantwortet,2009-11-17,['Yannick Wettstein (keine Funktion)'],['Yannick Wettstein'],109
Aufhebung Schulbaurichtlinien,Interpellation,Beantwortet,2012-03-07,[' Senn Mario'],['Senn Mario'],110
Einführung von Biogas,Postulat,Nicht überwiesen,2013-11-06,"[' Fässler Thomas', '', 'Ueli Gräflein (keine Funktion)']","['Fässler Thomas', 'Ueli Gräflein']",111
Ersatzlösung für die Anbindung des Quartier Sonnenberg an das öffentliche Verkehrsnetz,Postulat,Erledigt,2007-12-03,['Davide Loss (keine Funktion)'],['Davide Loss'],112
Integration des Quartiers Sonnenberg in das öffentliche Vekehrsnetz,Interpellation,Beantwortet,2007-06-27,['Davide Loss (Verfasser/in)'],['Davide Loss'],113
Auswirkung der Schülerzahlen auf die Schule Adliswil,Interpellation,Beantwortet,2013-11-06,['Davide Loss (keine Funktion)'],['Davide Loss'],114
Schliessung der Poststelle Adliswil 2 (Sood),Anfrage,Beantwortet,2012-01-12,['Davide Loss (Verfasser/in)'],['Davide Loss'],115
Umsetzung Schulreform,Interpellation,Beantwortet,2009-12-08,[' Clesle Hanspeter'],['Clesle Hanspeter'],116
Parkplatzbewirtschaftung der Liegenschaften Stadt Adliswil,Interpellation,Erledigt,2015-03-26,[' Corrodi Bernie'],['Corrodi Bernie'],117
Einsatz von Drohnen und Multikoptern,Interpellation,Beantwortet,2018-01-18,"[' Fässler Thomas', '', 'Simon Pfenninger (Erstunterzeichner/in)\n Andrea Blümli (Mitunterzeichner/in)\n Anke Würl (Mitunterzeichner/in)\n Walter Uebersax (Mitunterzeichner/in)', '', '', '']","['Fässler Thomas', 'Simon Pfenninger', 'Andrea Blümli', 'Anke Würl', 'Walter Uebersax']",118
Mittel und Gegenstände (MiGeL); Pflegefinanzierung,Anfrage,Beantwortet,2018-02-27,['Heidi Jucker (Verfasser/in)'],['Heidi Jucker'],119
E-Velo Rikscha Fahrten für betagte Menschen,Interpellation,Beantwortet,2021-06-02,"[' Acar Sait', ' Etemi Xhelajdin', 'Dr.  Liedtke Wolfgang', ' Muthuthamby Kannathasan', ' Yilmaz Esen', '', 'Katharina Willimann (Erstunterzeichner/in)\n Angelika Sulser (Mitunterzeichner/in)', '']","['Acar Sait', 'Etemi Xhelajdin', 'Liedtke Wolfgang', 'Muthuthamby Kannathasan', 'Yilmaz Esen', 'Katharina Willimann', 'Angelika Sulser']",120
Mindereinnahmen durch Abschaffung und Senkung von Steuern und Gebühren,Interpellation,Erledigt,2015-03-18,['Davide Loss (keine Funktion)'],['Davide Loss'],121
Förderprogramm für Solaranlagen,Postulat,Erledigt,2009-09-11,[' Fässler Thomas'],['Fässler Thomas'],122
Gebühren bei Umstellung auf nachhaltiges Heizsystem,Postulat,Abgelehnt,2020-07-01,"[' Mäder Gabriel', ' Schanz Simon', '', 'Stefan Neubert (Mitunterzeichner/in)\n Anke Würl (Mitunterzeichner/in)\n Martin Rüttimann (Mitunterzeichner/in)\n Walter Uebersax (Erstunterzeichner/in)', '', '', '']","['Mäder Gabriel', 'Schanz Simon', 'Stefan Neubert', 'Anke Würl', 'Martin Rüttimann', 'Walter Uebersax']",123
Misstrauen gegen Stadtrat Mueller und Falbriard,Postulat,Abgeschrieben,2012-04-04,"[' Senn Mario', '', 'Fredi Morf (keine Funktion)']","['Senn Mario', 'Fredi Morf']",124
Strom ohne Atom,Postulat,Nicht überwiesen,2013-09-04,['Ueli Gräflein (keine Funktion)'],['Ueli Gräflein'],125
Parkierungskonzept im Tal,Postulat,Erledigt,2005-12-07,['Fredi Morf (keine Funktion)'],['Fredi Morf'],126
Entwicklung im öffentlichen Verkehr,Interpellation,Beantwortet,2007-06-04,['Davide Loss (Verfasser/in)'],['Davide Loss'],127
Schaffung einer gesetzlichen Grundlage für die Einsetzung einer Parlamentarischen Untersuchungskommission (PUK),Motion,Beschlossen,2013-09-04,"[' Clesle Hanspeter', ' Fässler Thomas', ' Senn Mario', '', 'Ueli Gräflein (keine Funktion)\n Fredi Morf (keine Funktion)\n Davide Loss (keine Funktion)', '', '']","['Clesle Hanspeter', 'Fässler Thomas', 'Senn Mario', 'Ueli Gräflein', 'Fredi Morf', 'Davide Loss']",128
Auswirkung der Kulturlandinitiative,Interpellation,Beantwortet,2012-10-03,['Yannick Wettstein (keine Funktion)'],['Yannick Wettstein'],129
"Sihlhochwasser, - Überschwemmung",Interpellation,Beantwortet,2009-05-04,[' Clesle Hanspeter'],['Clesle Hanspeter'],130
